Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fld;Ha;Total Tonnes;SC;R;LG;P;;H1;H2;ID;FF;CC;MW;SL;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;5,7;0,0;C;C;0;C;;C;C;IP;C;C;C;C;;C;Complete;;;;
Block 22 (103.8 Ha.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;6,7;0,0;C;C;0;C;;C;C;;C;C;C;C;;IP;In Progress;;;;
March;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;6,6;0,0;C;C;0;C;;C;C;;C;C;C;C;;;;;;;
Activities;;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;;18;4,5;0,0;C;C;0;C;;C;C;;;C;C;C;;;;;;;
Sleep Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2,2;0,0;C;C;0;C;;C;C;C;C;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3,5;0,0;C;C;0;C;;IP;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;21;3,4;0,0;C;C;0;C;;C;C;;;C;C;C;;;;;;;
Rake Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;3,8;0,0;C;C;0;C;;C;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;3,8;9,6;C;C;C;C;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;24;3,8;7,6;C;C;C;IP;;;;;;C;C;C;;;;;;;
Clean Canals;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;27;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
Grub Sideline;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;;30;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
Plough;Ha. Day;;;;;;;;;;;;0,6;0,8;0,4;3,6;0;3,2;2,2;3,5;0;0;0;5;6,2;0,2;0;3,5;0;;31;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;0,6;1,4;1,8;3,6;3,6;6,8;9;12,5;12,5;12,5;0;5;11,2;11,4;11,4;14,9;14,9;;32;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;;;;;0,6;1,4;1,8;5,4;5,4;8,6;10,8;14,3;14,3;14,3;14,3;19,3;25,5;25,7;25,7;29,2;29,2;;33;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
Drain Cut 10*32;Ha. Day;;;;;;;;;;;;;;;;;;;;0,8;9,9;2,7;10,1;0;0;0;2,2;0;;34;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;0,8;10,7;2,7;12,8;23,5;23,5;23,5;25,7;25,7;;35;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;0,8;10,7;13,4;23,5;23,5;23,5;23,5;25,7;25,7;;36;3,8;11,5;C;C;;;;;;;;C;C;C;;;;;;;
Harrow 1;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;1,2;0;0;0;;37;3,8;11,5;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;1,2;1,2;1,2;1,2;;38;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;1,2;1,2;1,2;1,2;;39;3,7;7,4;C;C;;;;;;;;C;C;C;;;;;;;
Harrow 2;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;1,8;9,2;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;0,7;1,4;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103,8;111,6;;;;;;;;;;;;;;;;;;;
Apply Low Grade ;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KEY;;;;;;;;;;;;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SC- Sleep Canes;;;;H1- Harrow 1;;;;;;;CC- Cross Canal ;;;;;;;;;;
Canal Excavation;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R- Raking Canes;;;;H2- Harrow 2;;;;;;;MW- Middle Walk;;;;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LG- Apply Low Grade;;;;ID- Internal Drains;;;;;;;SL- Sideline;;;;;;;;;;
;Ha. Todate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P- Ploughing;;;;FF- Four Foot;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Block 22 (103.8 Ha.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
April;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Fld;Ha;Total Tonnes;SC;R;LG;P;;H1;H2;ID;FF;CC;MW;SL;;;;;;;
Activities;;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;;15;5,7;0,0;C;C;0;C;;C;C;IP;C;C;C;C;;C;Complete;;;;
Sleep Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;6,7;0,0;C;C;0;C;;C;C;;C;C;C;C;;IP;In Progress;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;6,6;0,0;C;C;0;C;;C;C;;C;C;C;C;;;;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;18;4,5;0,0;C;C;0;C;;C;C;;;C;C;C;;;;;;;
Rake Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2,2;0,0;C;C;0;C;;C;C;C;C;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3,5;0,0;C;C;0;C;;IP;;;;C;C;C;;;;;;;
